Date,Open,High,Low,Close,Adj Close,Volume
2023-03-20,5.070000,5.140000,5.020000,5.050000,4.623794,340788949
2023-03-21,5.030000,5.100000,4.980000,5.000000,4.578013,210089926
2023-03-22,5.010000,5.120000,5.010000,5.090000,4.660418,241203545
2023-03-23,5.070000,5.130000,5.050000,5.130000,4.697042,239885810
2023-03-24,5.090000,5.110000,5.060000,5.060000,4.632949,187994516
2023-03-27,5.060000,5.070000,4.970000,4.990000,4.568857,228852646
2023-03-28,5.010000,5.070000,4.970000,5.050000,4.623794,144018766
2023-03-29,5.070000,5.120000,5.040000,5.100000,4.669573,242360190
2023-03-30,5.100000,5.110000,5.020000,5.070000,4.642106,302493029
2023-03-31,5.110000,5.130000,5.060000,5.090000,4.660418,306022385
2023-04-03,5.070000,5.120000,5.050000,5.090000,4.660418,211777221
2023-04-04,5.090000,5.130000,5.060000,5.100000,4.669573,283243193
2023-04-06,5.130000,5.160000,5.100000,5.150000,4.715353,296443876
2023-04-11,5.200000,5.210000,5.160000,5.190000,4.751977,309168819
2023-04-12,5.200000,5.250000,5.190000,5.250000,4.806914,263251557
2023-04-13,5.200000,5.240000,5.190000,5.240000,4.797758,250329216
2023-04-14,5.250000,5.270000,5.210000,5.260000,4.816070,258106357
2023-04-17,5.260000,5.380000,5.230000,5.380000,4.925942,538316082
2023-04-18,5.350000,5.380000,5.320000,5.370000,4.916786,323720524
2023-04-19,5.360000,5.360000,5.280000,5.310000,4.861850,229786383
2023-04-20,5.330000,5.340000,5.270000,5.320000,4.871006,258813324
2023-04-21,5.330000,5.370000,5.250000,5.290000,4.843538,399878186
2023-04-24,5.280000,5.310000,5.190000,5.230000,4.788602,275970219
2023-04-25,5.230000,5.270000,5.210000,5.240000,4.797758,193075295
2023-04-26,5.250000,5.260000,5.170000,5.230000,4.788602,247497799
2023-04-27,5.210000,5.280000,5.190000,5.250000,4.806914,327412506
2023-04-28,5.260000,5.340000,5.230000,5.250000,4.806914,351432337
2023-05-02,5.270000,5.310000,5.180000,5.200000,4.761134,171231451
2023-05-03,5.150000,5.160000,5.100000,5.150000,4.715353,182166025
2023-05-04,5.160000,5.360000,5.150000,5.360000,4.907630,500196614
2023-05-05,5.380000,5.470000,5.350000,5.430000,4.971722,817705287
2023-05-08,5.420000,5.630000,5.400000,5.630000,5.154843,1022410165
2023-05-09,5.650000,5.700000,5.510000,5.570000,5.099907,719442971
2023-05-10,5.610000,5.610000,5.410000,5.450000,4.990034,610064791
2023-05-11,5.480000,5.510000,5.380000,5.440000,4.980878,278795902
2023-05-12,5.410000,5.430000,5.280000,5.310000,4.861850,290235511
2023-05-15,5.320000,5.390000,5.230000,5.390000,4.935098,375976422
2023-05-16,5.420000,5.450000,5.320000,5.360000,4.907630,292773717
2023-05-17,5.330000,5.390000,5.260000,5.290000,4.843538,291033792
2023-05-18,5.320000,5.430000,5.290000,5.390000,4.935098,264105671
2023-05-19,5.370000,5.390000,5.290000,5.330000,4.880162,261544914
2023-05-22,5.360000,5.410000,5.330000,5.360000,4.907630,214446336
2023-05-23,5.380000,5.420000,5.260000,5.300000,4.852694,284171295
2023-05-24,5.250000,5.270000,5.150000,5.160000,4.724509,419876066
2023-05-25,5.110000,5.140000,5.060000,5.090000,4.660418,413602431
2023-05-29,5.090000,5.160000,5.090000,5.120000,4.687885,259001745
2023-05-30,5.100000,5.130000,5.040000,5.080000,4.651261,334625625
2023-05-31,5.060000,5.080000,5.000000,5.010000,4.587169,530545696
2023-06-01,5.000000,5.050000,4.960000,4.970000,4.550545,372140270
2023-06-02,5.000000,5.070000,5.000000,5.020000,4.596325,479414008
2023-06-05,5.040000,5.110000,5.030000,5.100000,4.669573,247029875
2023-06-06,5.100000,5.150000,5.060000,5.080000,4.651261,276696508
2023-06-07,5.130000,5.150000,5.080000,5.120000,4.687885,250772269
2023-06-08,5.100000,5.150000,5.090000,5.140000,4.706197,300980528
2023-06-09,5.140000,5.170000,5.130000,5.140000,4.706197,223987875
2023-06-12,5.150000,5.160000,5.110000,5.160000,4.724509,173831785
2023-06-13,5.150000,5.150000,5.080000,5.080000,4.651261,294244837
2023-06-14,5.080000,5.080000,5.000000,5.010000,4.587169,441811693
2023-06-15,5.050000,5.060000,4.990000,5.030000,4.605482,347935945
2023-06-16,5.010000,5.080000,5.010000,5.070000,4.642106,470534586
2023-06-19,5.060000,5.080000,5.050000,5.060000,4.632949,197082815
2023-06-20,5.050000,5.070000,5.040000,5.060000,4.632949,170200596
2023-06-21,5.040000,5.070000,5.030000,5.030000,4.605482,168731033
2023-06-23,5.020000,5.040000,4.990000,5.000000,4.578013,277853774
2023-06-26,5.010000,5.040000,4.990000,5.000000,4.578013,210506442
2023-06-27,5.000000,5.090000,5.000000,5.060000,4.632949,223127518
2023-06-28,5.060000,5.120000,5.060000,5.070000,4.642106,204316753
2023-06-29,5.070000,5.090000,5.030000,5.050000,4.623794,187463478
2023-06-30,5.040000,5.100000,5.040000,5.070000,4.642106,224460583
2023-07-03,5.080000,5.150000,5.070000,5.120000,4.687885,352641894
2023-07-04,5.110000,5.150000,5.080000,5.090000,4.660418,387215906
2023-07-05,5.070000,5.080000,5.000000,5.000000,4.578013,613703063
2023-07-06,4.570000,4.600000,4.420000,4.430000,4.430000,745481670
2023-07-07,4.430000,4.440000,4.360000,4.370000,4.370000,493864148
